本次排名,上次排名,排名变化,商品ID,商品标题,品牌,国补后价格,付款人数,最新价格,最新付款人数,付款金额,店铺名称,商品链接,备注,8-19_付款人数,8-19_价格,8-20_付款人数,8-20_价格,8-22_付款人数,8-22_价格,页码
389,N/A,新品,6.57616E+11,房门指纹锁室内木门简易智能密码电子锁卧室办公室公寓宿舍免开孔,未识别,175.46,21,175.46,21,3684.66,钟铧旗舰店,https://detail.tmall.com/item.htm?id=657616185282&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000Rp-GllXQZJm_Z9PVt6OuYsY4oX65ywSpdcbBusowsmY&skuId=4916995714904&priceTId=2147bffb17558492483992033e1c20&utparam=%7B%22aplus_abtest%22%3A%22b48041ab3b5003e7fb244ee2be5bacb9%22%7D&spm=a21n57.1.item.24,新品; ,,,,,21,175.46,13
390,N/A,新品入榜,8.54795E+11,全自动三摄智能门锁3D人脸识别指纹锁电子防盗门家用智能锁密码锁,欧铂睿丰,199,20,194.01,21,4074.21,欧铂睿丰旗舰店,https://detail.tmall.com/item.htm?id=854794500676&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000N5kU_XBAjJ7spfTpfyrDbrrPNaaRBZyOFBkJWUnxXKc&skuId=5844416847690&priceTId=2147826b17555884208385319e1a8f&utparam=%7B%22aplus_abtest%22%3A%22d3ecea4cfda7dd5b80b9830a171a8aaa%22%7D&spm=a21n57.1.item.2,,未找到,未找到,未找到,未找到,21,194.01,
391,N/A,新品入榜,7.47762E+11,【政府补贴15%】小米智能门锁2指纹锁密码锁全自动家用智能锁1212,小米,1499,34,1499,21,31479,苏宁易购官方旗舰店,https://detail.tmall.com/item.htm?id=747761979300&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000LzOS458RwzdipbV4_ugXrCw2xzE8U-qWX92rKvgGGQY&skuId=5257230989686&priceTId=2147846217555884012404167e118a&utparam=%7B%22aplus_abtest%22%3A%22418a5ec9644f20af8d15677f3a4303c0%22%7D&spm=a21n57.1.item.36,,未找到,未找到,未找到,未找到,21,同上,
392,N/A,新品,8.2827E+11,不锈钢防水指纹锁户外密码锁庭院家用防盗门防雨防冻抗高温智能锁,咏洛,176,21,176,21,3696,咏洛旗舰店,https://detail.tmall.com/item.htm?id=828269579084&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000wQAYDuxfLdUjxIJX3kAppYso7zh0g_BLb0oyMEoq-do&skuId=5571672544554&priceTId=2147bffb17558492483992033e1c20&utparam=%7B%22aplus_abtest%22%3A%227e24669483726db3e3e90b0ae96702eb%22%7D&spm=a21n57.1.item.28,新品; ,,,,,21,176,13
393,N/A,新品入榜,8.43797E+11,苏宁户外防水智能门锁人脸识别家用指纹锁别墅庭院大门密码锁2392,苏宁,505.55,21,518,21,10878,苏宁易购官方旗舰店,https://detail.tmall.com/item.htm?id=843797403914&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000YTskANGg-_s3NQjUY1gwqZzgUXQPvX_3kOO8y7JJeqQ&skuId=5790320375765&priceTId=2147846217555884012404167e118a&utparam=%7B%22aplus_abtest%22%3A%22bf83a70b5699c5087a8542c9e71cef02%22%7D&spm=a21n57.1.item.39,,同上,518,未找到,未找到,同上,同上,
394,N/A,新品入榜,7.51496E+11,鹿客P7 Pro智能锁可视猫眼带屏幕智能门锁指纹锁密码锁家用门锁,鹿客,949,25,1193,21,25053,Lockin鹿客旗舰店,https://detail.tmall.com/item.htm?id=751495556799&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=e4abd9e64d3b3a42237fe6894fef48bae55e7106&mi_id=00008nBbYUzJQlcKYKF2z-ORDpLIG62fNVBeR-nerKkYQSc&skuId=5453021660265&priceTId=214780b217555883812312218e14f2&utparam=%7B%22aplus_abtest%22%3A%221324b3fb6f85064f5f62479de98d414a%22%7D&spm=a21n57.1.item.42,,20,1193,未找到,未找到,21,同上,
395,N/A,新品,7.43559E+11,石将军3D人脸智能锁指纹电子密码锁掌静脉家用防盗门夜视可视监控,石将军,934.15,21,934.15,21,19617.15,石将军旗舰店,https://detail.tmall.com/item.htm?id=743558694161&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000O_F90NTK73L8ljYg3YYRilcTNNbv5-cFTEVpCi6TmVE&skuId=5681526140919&priceTId=2147bffb17558492483992033e1c20&utparam=%7B%22aplus_abtest%22%3A%229f432f113ee673fc0dcb3a9965816b0c%22%7D&spm=a21n57.1.item.34,新品; ,,,,,21,934.15,13
396,N/A,新品入榜,6.8013E+11,慧锁双开玻璃门锁指纹锁办公室单开玻璃门密码智能遥控感应刷卡锁,慧锁,194,24,259.23,21,5443.83,HSHUISO旗舰店,https://detail.tmall.com/item.htm?id=680129617768&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000ACiY5IxgTdeHkx4UPvT4O1qQdceSefk8QWl_AzCBcCY&skuId=5047250250661&priceTId=2147846217555884012404167e118a&utparam=%7B%22aplus_abtest%22%3A%22142b79aab268b06b0bb21e5cdd162ced%22%7D&spm=a21n57.1.item.3,,23,257.57,未找到,未找到,21,259.23,
397,N/A,新品,7.57243E+11,咏洛人脸识别有框玻璃门指纹锁免开孔双门商铺密码肯德基门智能锁,咏洛,153.84,21,153.84,21,3230.64,咏洛旗舰店,https://detail.tmall.com/item.htm?id=757243484800&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=00003NSDVk8lXEUoILFL7tArqjS5QGUWQuHphDMP12WZ364&skuId=5921588687735&priceTId=2147bffb17558492483992033e1c20&utparam=%7B%22aplus_abtest%22%3A%2274ef072dfcfdc3d261048546bff175e3%22%7D&spm=a21n57.1.item.36,新品; ,,,,,21,153.84,13
398,N/A,新品入榜,7.43806E+11,全自动智能门锁家用防盗门人脸识别智能锁入户门电子密码锁指纹锁,未识别,282,25,347.43,21,7296.03,我高旗舰店,https://detail.tmall.com/item.htm?id=743805969906&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000r5JdpYw6sNLqCl-XyKoRv7ifu9SoKQ5tbViHXQCsQdw&skuId=5310620820631&priceTId=214780b217555883812312218e14f2&utparam=%7B%22aplus_abtest%22%3A%22369132de4a122c40561feb137f0ffbd7%22%7D&spm=a21n57.1.item.47,,24,347.43,未找到,未找到,21,同上,
399,N/A,新品入榜,6.61574E+11,Aqara绿米联创智能门锁A100 Pro已接入HomeKit家庭钥匙指纹锁,未识别,1614.15,17,1694.05,20,33881,Aqara官方旗舰店,https://detail.tmall.com/item.htm?id=661574041305&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000uI6e89vav9ax0WBDhfetH34Bnbw9Ue1LLFRNFIdgU3c&skuId=5050592867281&priceTId=2147826b17555884208385319e1a8f&utparam=%7B%22aplus_abtest%22%3A%22f3b4bf40d508b2996fab072cd6949c8b%22%7D&spm=a21n57.1.item.48,,同上,1694.05,未找到,未找到,20,同上,
400,N/A,新品入榜,7.08427E+11,小米智能门锁M20大屏猫眼版密码锁家用门锁智能锁电子锁指纹锁,小米,1189.15,29,1226.57,20,24531.4,小米智能家居旗舰店,https://detail.tmall.com/item.htm?id=708427435843&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000QxKZBrRPLFXsZW0pg_78asb8O4tj31tcZ9TakNFFWEE&skuId=5904429196247&priceTId=214780b217555883812312218e14f2&utparam=%7B%22aplus_abtest%22%3A%222c2070b8aac598eb9e11adf586272e60%22%7D&spm=a21n57.1.item.14,,26,1226.57,未找到,未找到,20,同上,
401,N/A,新品入榜,9.11869E+11,新智能门锁全自动家用密码锁可视猫眼指纹锁人脸识别防盗门电子锁,云漫,198,19,212,20,4240,云漫旗舰店,https://detail.tmall.com/item.htm?id=911868523634&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000GrGDUWoctcfqib3S2AowvmNDsjWB5M2ojGrMWq9MRk8&skuId=5775698956182&priceTId=2147826b17555884208385319e1a8f&utparam=%7B%22aplus_abtest%22%3A%22ecb595182115a46828ff772d12cb3d5d%22%7D&spm=a21n57.1.item.20,,21,212,未找到,未找到,20,同上,
402,N/A,新品入榜,9.5927E+11,苏宁智能门锁家用指纹密码锁防盗入户门全自动人脸识别电子锁2392,苏宁,603.67,19,617.67,20,12353.4,苏宁易购官方旗舰店,https://detail.tmall.com/item.htm?id=959270324315&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000mj7E60vjsuoFJd_w_sSPG6XtdmYFTRQ3_-6vPMtDdVo&skuId=6052470070759&priceTId=2147826b17555884208385319e1a8f&utparam=%7B%22aplus_abtest%22%3A%228f4e000005b66c0983af18edeb110ef4%22%7D&spm=a21n57.1.item.21,,同上,617.67,未找到,未找到,20,同上,
403,N/A,新品,7.73423E+11,玻璃门密码锁单门办公室智能锁免开孔隔断门智能电子锁单开指纹锁,邦臣,171.76,20,171.76,20,3435.2,邦臣智能家居旗舰店,https://detail.tmall.com/item.htm?id=773423063443&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000IfFufUaNZYgsyPda9PTIGYYIgiTqpZ3nDW69HwAVUkE&skuId=5810877605125&priceTId=2147bffb17558492483992033e1c20&utparam=%7B%22aplus_abtest%22%3A%22bfdc04f7dc00a0e3308761e217b034c6%22%7D&spm=a21n57.1.item.45,新品; ,,,,,20,171.76,13
404,N/A,新品,9.27258E+11,海康威视玻璃门密码锁免开孔无框单门双门办公室指纹锁电子智能锁,海康威视,189.9,20,189.9,20,3798,海康威视业成专卖店,https://detail.tmall.com/item.htm?id=927258205787&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000ApnAVqmW5SPI6_iWOWiu2GCGoeH-I_-Hy1v_GfA4lZg&skuId=6043792311954&priceTId=2147bffb17558492483992033e1c20&utparam=%7B%22aplus_abtest%22%3A%228f480ad8f7e9b63e99382bfea96e900a%22%7D&spm=a21n57.1.item.46,新品; ,,,,,20,189.9,13
405,N/A,新品入榜,8.55518E+11,室内木门办公室指纹锁家用民宿卧室门房间门密码锁通通锁智能门锁,今融,128.76,18,123,19,2337,今融家居旗舰店,https://detail.tmall.com/item.htm?id=855517666460&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=00009-K-hVD8sUspAbTft8hlBjYmZwGXlAgDblMMiHKQoew&skuId=5827268542927&priceTId=2147826b17555884208385319e1a8f&utparam=%7B%22aplus_abtest%22%3A%22c5876c662106e63eedb28ead14402166%22%7D&spm=a21n57.1.item.27,,19,123,未找到,未找到,同上,同上,
406,N/A,新品入榜,8.79587E+11,美仕洛人脸识别指纹密码锁可视对讲涂鸦电子锁防盗门家用智能门锁,未识别,549,17,563,19,10697,美仕洛旗舰店,https://detail.tmall.com/item.htm?id=879587326782&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=19191cbae572532886f903bd52445cc2dd7bab8f&mi_id=0000i48SeCdl1DzPS1j5Dp7u_ID7zW0SX4UmnfjIb6qG_-0&skuId=5854064952528&priceTId=2147826b17555884208385319e1a8f&utparam=%7B%22aplus_abtest%22%3A%2258cd75fc16a0731fba50f78db4f93c46%22%7D&spm=a21n57.1.item.45,,16,563,未找到,未找到,19,同上,
407,N/A,新品入榜,9.56424E+11,苏宁指纹锁家用全自动人脸识别电子密码锁入户防盗门智能门锁2392,苏宁,429,18,429,19,8151,苏宁易购官方旗舰店,https://detail.tmall.com/item.htm?id=956424420663&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000RYvSB13tTrSVIAhP5EUpsHkgFEK_rHhHqdUrad-AU1w&skuId=5878968024672&priceTId=2147821917556903705385013e10e0&utparam=%7B%22aplus_abtest%22%3A%22e0dbb70e84dbccad9b062a9c4f35bb73%22%7D&spm=a21n57.1.item.47,,18,429,未找到,未找到,19,同上,
408,N/A,新品入榜,9.43338E+11,云米掌静脉智能门锁猫眼大屏人脸识别家用指纹锁电子锁蓝调2a pro,云米,1019.15,33,1099.05,19,20881.95,云米旗舰店,https://detail.tmall.com/item.htm?id=943337811298&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000zNZnfHt-ddO6gMciFEcGeWPT5QELB3oWwPBwNiip7jk&skuId=5846058940235&priceTId=2147826b17555884208385319e1a8f&utparam=%7B%22aplus_abtest%22%3A%2218ccf0b5632b1e592e0c0f23208ffa7b%22%7D&spm=a21n57.1.item.24,,32,1099.05,未找到,未找到,19,同上,
409,N/A,新品,6.8076E+11,银驰3D人脸欧式别墅指纹锁全自动可视猫眼电子锁家用防盗门智能锁,未识别,2082,19,2082,19,39558,银驰旗舰店,https://detail.tmall.com/item.htm?id=680760039794&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000plIXJgX95AYwfC2gitANNbtX4Iys3PvkAcAl0pzpRuo&skuId=5113103178558&priceTId=2147bffb17558492724263159e1c20&utparam=%7B%22aplus_abtest%22%3A%223fda33a858b27c69ccc5b316536d66d3%22%7D&spm=a21n57.1.item.9,新品; ,,,,,19,2082,14
410,N/A,新品入榜,6.7163E+11,鹿客S50M智能锁指静脉密码锁家用门锁带猫眼智能门锁非指纹锁,鹿客,1049,17,1213.05,18,21834.9,Lockin鹿客旗舰店,https://detail.tmall.com/item.htm?id=671629902403&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=780554e9adf36f94e98b9804d0a164416f7c4f20&mi_id=0000F4wYfkbs-IKsCEbE1IXl1zHG2-AcLzdwv6O5BRusu4U&skuId=5533719064085&priceTId=2147826b17555884208385319e1a8f&utparam=%7B%22aplus_abtest%22%3A%225ca486c7fdb2abbb6f0506a23abefa31%22%7D&spm=a21n57.1.item.43,,19,1293,未找到,未找到,18,1213.05,
411,N/A,新品,8.68633E+11,断桥铝智能门锁玻璃门智能锁户外防水指纹锁密码锁断桥铝门电子锁,康廷,278,18,278,18,5004,康廷旗舰店,https://detail.tmall.com/item.htm?id=868632918183&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000RT5jbj6bFMSqqnN9Q4yYfX6d9Zi1yzpIfl4l6O0dLnc&skuId=5864057906127&priceTId=2147bffb17558492724263159e1c20&utparam=%7B%22aplus_abtest%22%3A%22b5b4d042e12a2e4ed5a22457b80b3e11%22%7D&spm=a21n57.1.item.12,新品; ,,,,,18,278,14
412,N/A,新品,7.43458E+11,德施曼指纹锁家用防盗门智能锁密码锁电子锁智能门锁小嘀V7Plus,德施曼,764.15,18,764.15,18,13754.7,德施曼极家专卖店,https://detail.tmall.com/item.htm?id=743457587583&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000h_N621jQ_U4TqDi-1RqB2YoCCvIKA-YRvkxuzP6wzYA&skuId=5845734024245&priceTId=2147bffb17558492724263159e1c20&utparam=%7B%22aplus_abtest%22%3A%226dd4864596094b6288a39b6a2563faff%22%7D&spm=a21n57.1.item.13,新品; ,,,,,18,764.15,14
413,N/A,新品入榜,8.62747E+11,指纹锁家用防盗门智能锁入户门电子锁密码锁可视智能门锁上门安装,今融,328.29,16,343,18,6174,今融家居旗舰店,https://detail.tmall.com/item.htm?id=862746995399&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000FbIFDW-aRr9YtLiztJ0tjdhtz7a8pIC1aMwYRhTazos&skuId=5853194283354&priceTId=2147836a17555884410248280e1355&utparam=%7B%22aplus_abtest%22%3A%225cc43e1a8f35ac43b274efa02cb35d40%22%7D&spm=a21n57.1.item.18,,未找到,未找到,未找到,未找到,18,343,
414,N/A,新品入榜,7.08663E+11,双开门人脸识别智能大门锁 指纹锁家用别墅防盗门猫眼电子密码锁,未识别,869,18,869,18,15642,品廷旗舰店,https://detail.tmall.com/item.htm?id=708663002883&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000rPwTDcJKTR67IudB6KHTDyQdpvJepvHiRGUc_D7vOSQ&skuId=4971242308404&priceTId=2147826b17555884208385319e1a8f&utparam=%7B%22aplus_abtest%22%3A%22bff71ab339a8298ee27ff223309b8b6e%22%7D&spm=a21n57.1.item.28,,17,同上,未找到,未找到,18,同上,
415,N/A,新品入榜,7.3061E+11,慧锁有框无框玻璃门指纹锁免开孔单开双开门智能遥控电子密码门锁,慧锁,177.5,17,211.71,18,3810.78,HSHUISO旗舰店,https://detail.tmall.com/item.htm?id=730609754041&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000Q2cIaa-m8oRIfiwr7sPK65QThlj-6lZrqwrzO8aOBDI&skuId=5231759462016&priceTId=2147826b17555884208385319e1a8f&utparam=%7B%22aplus_abtest%22%3A%223eece340dc0183e2d05eee2bb0cc85d8%22%7D&spm=a21n57.1.item.49,,同上,210.53,未找到,未找到,18,211.71,
416,N/A,新品入榜,7.28486E+11,凯迪仕K70ProMax掌静脉人脸猫眼指纹密码锁全自动电子锁智能门锁,凯迪仕,4036.65,15,4244.05,18,76392.9,凯迪仕官方旗舰店,https://detail.tmall.com/item.htm?id=728486402544&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=b8c380f8a542cf7a3485661dc74f752f0bccca54&mi_id=0000ZOJDEKZv9Vx7ODxrBWyLiHC1ULBU-pTCKft23pDNTIU&skuId=5283113367872&priceTId=2147836a17555884410248280e1355&utparam=%7B%22aplus_abtest%22%3A%225f654b7b9eb9775c1163259db58c7d24%22%7D&spm=a21n57.1.item.47,,17,4065.55,未找到,未找到,18,4244.05,
417,N/A,新品入榜,7.62185E+11,指纹锁密码锁家用通用型防盗门入户进户门电子半自动大门智能门锁,云漫,148,21,142,18,2556,云漫旗舰店,https://detail.tmall.com/item.htm?id=762184952181&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000Gi5XZqpBHYaqvttYkuapSD-e-eMaKz6H3WkjEIN92SU&skuId=5423964071877&priceTId=2147846217555884012404167e118a&utparam=%7B%22aplus_abtest%22%3A%226bff7584ec56c2d0f7aae8e1b25bc5a6%22%7D&spm=a21n57.1.item.42,,19,142,未找到,未找到,18,同上,
418,N/A,新品入榜,6.20598E+11,天图玻璃门锁指纹密码锁办公室单双开门禁免开孔智能电子锁遥控锁,未识别,174,19,168.04,18,3024.72,天图旗舰店,https://detail.tmall.com/item.htm?id=620598413401&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000mJwu5CKFNujUe6ejGmvIhmpHdtmfDMq3T-1XbfKtrIc&skuId=5281088633009&priceTId=2147826b17555884208385319e1a8f&utparam=%7B%22aplus_abtest%22%3A%22f6f4f46413fa2026f737c952553ab7b0%22%7D&spm=a21n57.1.item.9,,同上,168.04,未找到,未找到,18,同上,
419,N/A,新品入榜,9.12591E+11,爵象全自动指纹锁家用防盗门入户门智能门锁人脸识别电子密码锁,爵象,389,10,496.42,18,8935.56,爵象旗舰店,https://detail.tmall.com/item.htm?id=912590568141&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000XogHk5G5MbEPQlcwJmOBUk0jaYQl63IbAEEbecOuK-U&skuId=5943159855396&priceTId=2147849217555884812214275e14ab&utparam=%7B%22aplus_abtest%22%3A%22f3494c553bebf73c3aff8c67fdb3c661%22%7D&spm=a21n57.1.item.43,,12,496.42,未找到,未找到,18,同上,
420,N/A,新品入榜,9.41E+11,霍尼韦尔智能门锁全自动家用入户门防盗门锁电子锁指纹锁DDL-400S,未识别,2599,15,4999,18,89982,霍尼韦尔智能锁旗舰店,https://detail.tmall.com/item.htm?id=940999618875&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=000096WT5Vxc8c77MTVs3zmqy9sUeQtYxwpiKtRM_qd_49w&skuId=5840880729355&priceTId=2147836a17555884410248280e1355&utparam=%7B%22aplus_abtest%22%3A%22c842be30cb6254a45cfd60585e8c2ffc%22%7D&spm=a21n57.1.item.36,,未找到,未找到,未找到,未找到,18,4999,
421,N/A,新品,6.50494E+11,商铺铝合金玻璃门密码锁免打孔双开指纹锁有框门免开孔智能锁防水,纳智德,498.56,17,498.56,17,8475.52,纳智德迈德康专卖店,https://detail.tmall.com/item.htm?id=650494160147&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000TFXuPbzJ2jWOKakR2kErbu-naLkFNCq0gjDzsMbDShY&skuId=4866036002495&priceTId=2147bffb17558492724263159e1c20&utparam=%7B%22aplus_abtest%22%3A%2297cea9b7c657c6c912b8ab2258a263d6%22%7D&spm=a21n57.1.item.30,新品; ,,,,,17,498.56,14
422,N/A,新品,9.36269E+11,海康威视有框玻璃门密码锁肯德基门智能锁免开孔双门办公室指纹锁,海康威视,341.05,17,341.05,17,5797.85,海康威视业成专卖店,https://detail.tmall.com/item.htm?id=936269342052&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000RILySnxIROUBQkrAT1nO_RAEOtfUM9s3BwIhqznZvEk&skuId=5996426651303&priceTId=2147bffb17558492724263159e1c20&utparam=%7B%22aplus_abtest%22%3A%22d9c859cf6f86e3830d8fd1443c08feba%22%7D&spm=a21n57.1.item.33,新品; ,,,,,17,341.05,14
423,N/A,新品入榜,8.45568E+11,玻璃门断桥铝合金户外防水推拉门庭院极窄边指纹锁密码锁智能门锁,今融,247.17,22,261.99,17,4453.83,今融家居旗舰店,https://detail.tmall.com/item.htm?id=845567983494&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000nsBfx6idthH6bGW2UDK4uRVXcLfS-zRTAA656dr_sVM&skuId=5627876869154&priceTId=2147846217555884012404167e118a&utparam=%7B%22aplus_abtest%22%3A%22e218d4ed551158f58158d0ad10b27f99%22%7D&spm=a21n57.1.item.37,,21,261.99,未找到,未找到,17,同上,
424,N/A,新品入榜,8.17289E+11,苏宁户外防水智能锁入户防盗门别墅大门家用指纹密码电子门锁2392,苏宁,488.55,14,500,17,8500,苏宁易购官方旗舰店,https://detail.tmall.com/item.htm?id=817289224316&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=00001mbfXLBNEdGcRTQsXwNj1W3mu051FgVfMmO6HVlgjLU&skuId=5707930730939&priceTId=2147836a17555884613241217e1355&utparam=%7B%22aplus_abtest%22%3A%22e00e1833d3878f7f2cd6560c665daf9c%22%7D&spm=a21n57.1.item.14,,15,500,未找到,未找到,17,同上,
425,N/A,新品入榜,9.58536E+11,TCL智能锁K5G Pro哨兵大屏人脸猫眼电子锁指纹密码锁家用智能门锁,TCL,814.3,15,899.3,17,15288.1,TCL集团官方旗舰店,https://detail.tmall.com/item.htm?id=958535602594&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=fb27a6798e5be9cde851600ab469ae8668e6775b&mi_id=0000m9sy8WCTwaKCOUphRTfoXvDRneo9yHj06dq8EI0285Y&skuId=5888648253019&priceTId=2147836a17555884410248280e1355&utparam=%7B%22aplus_abtest%22%3A%22ae8a3edbc0f732bc060bb4aa1af7f022%22%7D&spm=a21n57.1.item.32,,16,899.3,未找到,未找到,17,同上,
426,N/A,新品,8.50475E+11,超薄25mm矮把手断桥铝智能锁防水肯德基双面纱窗门户外指纹通通锁,日翔,188,17,188,17,3196,日翔蔚铼专卖店,https://detail.tmall.com/item.htm?id=850475362155&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000U4E26uzw0qNGZQuxT2hS4Xut_iLozFdIM0HiwzY8WDw&skuId=5811711819278&priceTId=2147bffb17558492724263159e1c20&utparam=%7B%22aplus_abtest%22%3A%221e5763b112999208fb48fe73807f87fa%22%7D&spm=a21n57.1.item.38,新品; ,,,,,17,188,14
427,N/A,新品入榜,6.9013E+11,黑帆指纹锁家用防盗门密码锁智能门锁木门电子锁刷卡锁大门锁,未识别,298,16,286.06,17,4863.02,blacksails黑帆旗舰店,https://detail.tmall.com/item.htm?id=690130359137&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000ZZq-ngx19s55-j7KPyFNnaQZdqy0iUdnhN2BoztNXHI&skuId=5050191020864&priceTId=2147836a17555884410248280e1355&utparam=%7B%22aplus_abtest%22%3A%2245b379a85f5792a73a5ab764c3cf0bfc%22%7D&spm=a21n57.1.item.2,,同上,286.06,未找到,未找到,17,同上,
428,N/A,新品,8.42062E+11,海康威视肯德基门智能锁有框玻璃门密码锁免开孔双门办公室指纹锁,海康威视,344,17,344,17,5848,海康威视凯凯专卖店,https://detail.tmall.com/item.htm?id=842061967257&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000Vw36J98Fkuq7zTE-IVRmt9pBCnAU7DjO0Ffz3uNWAAE&skuId=6063182575861&priceTId=2147bffb17558492724263159e1c20&utparam=%7B%22aplus_abtest%22%3A%2252fa11de72cc9176487ca7181f0aa0b5%22%7D&spm=a21n57.1.item.40,新品; ,,,,,17,344,14
429,N/A,新品,9.11867E+11,免打孔室内木门指纹锁公寓房间门密码锁民宿家用电子智能锁包安装,欧时特,258,17,258,17,4386,欧时特旗舰店,https://detail.tmall.com/item.htm?id=911867079059&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000REx3LymeVVeA1_w23zJpBOhhrDeHp3LpIGCDTfiGOSE&skuId=5942729178661&priceTId=2147bffb17558492724263159e1c20&utparam=%7B%22aplus_abtest%22%3A%22876064b4e199474c46b33f5bb988962d%22%7D&spm=a21n57.1.item.41,新品; ,,,,,17,258,14
430,N/A,新品入榜,6.80454E+11,鹿客S50MPro智能锁指静脉密码锁家用门锁猫眼智能门锁非指纹锁,鹿客,1768.85,17,2103.75,17,35763.75,Lockin鹿客旗舰店,https://detail.tmall.com/item.htm?id=680453805260&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=a953cf059cee195c1d9ad69ef21e375c34fa5e66&mi_id=0000g7hcwmD5-wG47GyGvapvVbS3zOvCUJG_Aydg511BAKI&skuId=5605978271951&priceTId=2147826b17555884208385319e1a8f&utparam=%7B%22aplus_abtest%22%3A%22311924ade241c7764b30715991abaec3%22%7D&spm=a21n57.1.item.39,,未找到,未找到,未找到,未找到,同上,2103.75,
431,N/A,新品入榜,9.56146E+11,刷脸智能门锁指纹锁家用防盗门锁入户门电子密码锁扫可视人脸识别,陈光德力,487.01,13,487.01,16,7792.16,陈光德力旗舰店,https://detail.tmall.com/item.htm?id=956145811060&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000Dx7vnFoFbkFo1E-2H9Qd-KJeJCeRq8TmR62QKFwFQpE&skuId=5883951713678&priceTId=2147821917556904102046987e10e0&utparam=%7B%22aplus_abtest%22%3A%22ddff9df83be0c27524972079e79f17fd%22%7D&spm=a21n57.1.item.36,,13,487.01,未找到,未找到,16,同上,
432,N/A,新品,7.56041E+11,玻璃门密码锁双门商铺有框指纹锁办公室单开智能锁密码锁户外防水,邦臣,220.63,16,220.63,16,3530.08,邦臣智能家居旗舰店,https://detail.tmall.com/item.htm?id=756040822894&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000uMru57T7uO_adJAWdAVgLy7f0xXc7by2D6WePYb4mg8&skuId=5758158249544&priceTId=2147bffb17558492724263159e1c20&utparam=%7B%22aplus_abtest%22%3A%227536bf2382fb127a96c2e6c3434f0700%22%7D&spm=a21n57.1.item.44,新品; ,,,,,16,220.63,14
